State,ZIP Code,Registration Date,Vehicle Make,Vehicle Model,Vehicle Model Year,Drivetrain Type,Vehicle GVWR Class,Vehicle Category,Vehicle Count,DMV Snapshot ID,DMV Snapshot (Date),Latest DMV Snapshot Flag
CT,6804,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6069,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6092,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6074,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6811,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6110,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6405,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6488,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6492,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6401,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6472,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6477,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6019,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
CT,6070,9/1/21,TESLA,MODEL 3,2021,BEV,1,Light-Duty (Class 1-2A),1,4,DMV Snapshot (7/12/2023),TRUE
