State,ZIP Code,Registration Date,Vehicle Make,Vehicle Model,Vehicle Model Year,Drivetrain Type,Vehicle GVWR Class,Vehicle Category,Vehicle Count,DMV Snapshot ID,DMV Snapshot (Date),Latest DMV Snapshot Flag
VT,5445,6/1/23,VOLKSWAGEN,ID.4,2022,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5452,6/1/23,VOLKSWAGEN,ID.4,2022,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5602,6/1/23,VOLKSWAGEN,ID.4,2022,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5470,6/1/23,VOLKSWAGEN,ID.4,2022,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5091,6/1/23,VOLKSWAGEN,ID.4,2022,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5462,6/1/23,VOLKSWAGEN,ID.4,2022,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5465,6/1/23,VOLKSWAGEN,ID.4,2022,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5677,6/1/23,VOLKSWAGEN,ID.4,2022,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5461,6/1/23,VOLKSWAGEN,ID.4,2022,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5669,6/1/23,VOLKSWAGEN,ID.4,2022,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5408,6/1/23,VOLKSWAGEN,ID.4,2022,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5663,6/1/23,VOLKSWAGEN,ID.4,2022,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5753,6/1/23,VOLKSWAGEN,ID.4,2022,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5452,6/1/23,VOLKSWAGEN,ID.4,2022,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5672,6/1/23,VOLKSWAGEN,ID.4,2022,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5602,6/1/23,VOLKSWAGEN,ID.4,2022,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5602,6/1/23,FORD,ESCAPE,2022,PHEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5819,6/1/23,FORD,ESCAPE,2022,PHEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5486,6/1/23,FORD,ESCAPE,2022,PHEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5408,6/1/23,FORD,ESCAPE,2022,PHEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5602,6/1/23,FORD,ESCAPE,2022,PHEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5843,6/1/23,FORD,ESCAPE,2022,PHEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5301,6/1/23,FORD,ESCAPE,2022,PHEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5408,6/1/23,FORD,ESCAPE,2022,PHEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5402,6/1/23,FORD,MUSTANG MACH-E,2021,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5452,6/1/23,FORD,MUSTANG MACH-E,2021,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5482,6/1/23,FORD,MUSTANG MACH-E,2021,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5255,6/1/23,FORD,MUSTANG MACH-E,2021,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5403,6/1/23,FORD,MUSTANG MACH-E,2021,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5403,6/1/23,FORD,MUSTANG MACH-E,2023,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5701,6/1/23,FORD,MUSTANG MACH-E,2022,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5356,6/1/23,FORD,MUSTANG MACH-E,2021,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5403,6/1/23,FORD,MUSTANG MACH-E,2021,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5602,6/1/23,FORD,MUSTANG MACH-E,2021,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5672,6/1/23,FORD,MUSTANG MACH-E,2021,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5059,6/1/23,FORD,MUSTANG MACH-E,2021,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5452,6/1/23,FORD,MUSTANG MACH-E,2022,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5477,6/1/23,FORD,MUSTANG MACH-E,2022,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5401,6/1/23,FORD,MUSTANG MACH-E,2021,BEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5408,6/1/23,FORD,FUSION,2018,PHEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5301,6/1/23,FORD,FUSION,2017,PHEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5354,6/1/23,FORD,FUSION,2017,PHEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5452,6/1/23,FORD,FUSION,2017,PHEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5602,6/1/23,FORD,FUSION,2019,PHEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5845,6/1/23,FORD,FUSION,2019,PHEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5478,6/1/23,FORD,FUSION,2020,PHEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
VT,5843,6/1/23,FORD,FUSION,2020,PHEV,1,Light-Duty (Class 1-2A),2,11,DMV Snapshot (6/24/2023),TRUE
