Timestamp (EST),baseline.out.electricity.bath_fan.energy_consumption.kwh,baseline.out.electricity.ceiling_fan.energy_consumption.kwh,baseline.out.electricity.clothes_dryer.energy_consumption.kwh,baseline.out.electricity.clothes_washer.energy_consumption.kwh,baseline.out.electricity.cooking_range.energy_consumption.kwh,baseline.out.electricity.cooling.energy_consumption.kwh,baseline.out.electricity.dishwasher.energy_consumption.kwh,baseline.out.electricity.ext_holiday-light.energy_consumption.kwh,baseline.out.electricity.exterior_lighting.energy_consumption.kwh,baseline.out.electricity.extra_refrigerator.energy_consumption.kwh,baseline.out.electricity.fans_cooling.energy_consumption.kwh,baseline.out.electricity.fans_heating.energy_consumption.kwh,baseline.out.electricity.freezer.energy_consumption.kwh,baseline.out.electricity.garage_lighting.energy_consumption.kwh,baseline.out.electricity.heating.energy_consumption.kwh,baseline.out.electricity.heating_supplement.energy_consumption.kwh,baseline.out.electricity.hot_tub-heater.energy_consumption.kwh,baseline.out.electricity.hot_tub-pump.energy_consumption.kwh,baseline.out.electricity.house_fan.energy_consumption.kwh,baseline.out.electricity.interior_lighting.energy_consumption.kwh,baseline.out.electricity.plug_loads.energy_consumption.kwh,baseline.out.electricity.pool_heater.energy_consumption.kwh,baseline.out.electricity.pool_pump.energy_consumption.kwh,baseline.out.electricity.pumps_cooling.energy_consumption.kwh,baseline.out.electricity.pumps_heating.energy_consumption.kwh,baseline.out.electricity.pv.energy_consumption.kwh,baseline.out.electricity.range_fan.energy_consumption.kwh,baseline.out.electricity.recirc_pump.energy_consumption.kwh,baseline.out.electricity.refrigerator.energy_consumption.kwh,baseline.out.electricity.vehicle.energy_consumption.kwh,baseline.out.electricity.water_systems.energy_consumption.kwh,baseline.out.electricity.well_pump.energy_consumption.kwh,baseline.out.fuel-oil.heating.energy_consumption.kwh,baseline.out.fuel-oil.water_systems.energy_consumption.kwh,baseline.out.natural-gas.clothes_dryer.energy_consumption.kwh,baseline.out.natural-gas.cooking_range.energy_consumption.kwh,baseline.out.natural-gas.fireplace.energy_consumption.kwh,baseline.out.natural-gas.grill.energy_consumption.kwh,baseline.out.natural-gas.heating.energy_consumption.kwh,baseline.out.natural-gas.hot_tub-heater.energy_consumption.kwh,baseline.out.natural-gas.lighting.energy_consumption.kwh,baseline.out.natural-gas.pool_heater.energy_consumption.kwh,baseline.out.natural-gas.water_systems.energy_consumption.kwh,baseline.out.propane.clothes_dryer.energy_consumption.kwh,baseline.out.propane.cooking_range.energy_consumption.kwh,baseline.out.propane.heating.energy_consumption.kwh,baseline.out.propane.water_systems.energy_consumption.kwh,baseline.out.wood.heating.energy_consumption.kwh
2:45 AM,1002758.217,2623621.234,1225707.395,67000.04939,1184441.691,55736302.57,113252.6343,0,5811660.163,7110057.597,11081003.05,28821370.1,4836669.832,518085.9242,110109633.7,5508456.204,1923771.427,2506822.366,0,17541528.25,143835696.1,13193.20175,1199620.755,290864.5909,499273.9328,0,127983.0147,0,36515052.45,0,11956828.55,1282197.806,521104816.3,17521109.03,700041.8722,1634004.431,1506257.758,62639.04343,1304841113,1395460.883,163494.1254,482610.1317,92344461.95,42619.57539,234570.4907,79624599.07,4818707.591,0
3:00 AM,1002758.217,2622153.724,1106723.739,82863.70126,1613954.14,54340459.66,107416.0928,0,5811660.163,7110057.597,10824439.06,29025896.76,4836669.832,518085.9242,110811132.1,5579778.332,1923771.427,2506822.366,0,17541528.25,143817973.9,13193.20175,1199620.755,289695.364,500863.9914,0,127983.0147,0,36515052.45,0,11916650.85,1282197.806,524205381.4,18113561.55,631243.459,2233156.335,1506257.758,62639.04343,1312334084,1395460.883,163494.1254,482610.1317,95313681.78,35719.17369,317803.7624,80267218.38,4947333.111,0
3:15 AM,1002758.217,2624716.385,1088753.623,105329.4041,2189875.242,52746950.47,109363.7281,0,5462491.517,6919448.429,10602524.48,29586976.66,4707005.79,486958.9561,113902521.6,5975551.324,2896947.125,3774945.269,0,17573918.08,143693566.4,23596.35962,2145550.663,280416.6964,527705.1373,0,127983.0147,0,35536137.31,0,12282694.09,1211414.732,534867753.6,18557701.61,623310.0651,2994002.739,1423105.568,197552.858,1337556160,2101380.827,154468.5157,863159.8637,97134442.6,39952.32978,437870.889,81324959.43,5037489.046,0
3:30 AM,999823.2599,2623537.692,1150213.05,124447.3009,2663180.368,51308652.15,110558.1078,0,5462491.517,6919448.429,10279425.73,29759441.14,4707005.79,486958.9561,113728797.3,5969895.653,2896947.125,3774945.269,0,17574283.35,143673915.3,23596.35962,2145550.663,280929.8502,514407.2572,0,198046.0328,0,35536137.31,0,12690449.88,1211414.732,536679176.7,19025844.21,659487.8737,3686801.019,1423105.568,197552.858,1340820013,2101380.827,154468.5157,863159.8637,99041024.57,45281.42747,534277.7692,81966443.64,5160106.818,0
3:45 AM,999823.2599,2627929.791,1278120.627,143928.3443,3229136.933,50206680.96,117759.2563,0,5462491.517,6919448.429,10101463.52,29976649.68,4707005.79,486958.9561,114951304.7,6036327.775,2896947.125,3774945.269,0,17578750.2,143635601.2,23596.35962,2145550.663,279076.1056,516804.693,0,198046.0328,0,35536137.31,0,13394196.69,1211414.732,542002371.3,20096982.11,721817.6501,4479014.589,1423105.568,197552.858,1352130512,2101380.827,154468.5157,863159.8637,104468453.2,52465.04592,637381.4225,82623279.89,5503144.667,0
4:00 AM,999823.2599,2628715.075,1480758.16,170136.4348,4023072.546,49410445.54,129946.1979,0,5462491.517,6919448.429,9950466.922,30113643.22,4707005.79,486958.9561,115308083.2,6073631.4,2896947.125,3774945.269,0,17579749.45,143623966.2,23596.35962,2145550.663,278362.6754,517253.2726,0,198046.0328,0,35536137.31,0,14664183.58,1211414.732,543907159.3,21544069.18,826764.2068,5495283.878,1423105.568,197552.858,1356870612,2101380.827,154468.5157,863159.8637,112006214,61567.80207,795276.7773,83065445.26,5857018.37,0
4:15 AM,999823.2599,2679624.375,1721112.205,203683.1287,4958165.232,48243168.08,142683.659,0,5552198.337,6861930.066,9789400.437,30864227.85,4667905.511,494955.9551,118334823.6,6401257.646,4256011.307,5545910.593,0,19702746.2,143978401.3,44940.68526,4086330.204,270473.4973,547197.8037,0,198046.0328,0,35240944.8,0,16405381.68,1336880.169,559792895.3,23242440.92,979470.2721,6809099.475,1570495.687,390290.1233,1394162020,3087215.671,170466.7196,1643939.844,120079509.3,72306.52495,973647.7216,85219745.01,6285665.111,0
4:30 AM,1018582.648,2681885.551,2038780.056,253095.5665,6163079.822,47731550.99,164273.4243,0,5552198.337,6861930.066,9653440.684,30920060.44,4667905.511,494955.9551,117821274.8,6295259.189,4256011.307,5545910.593,0,19761489.44,143974012.4,44940.68526,4086330.204,271756.14,532752.0102,-1826.987413,455168.9729,0,35240944.8,0,18740214.02,1336880.169,559185693.2,25741282.6,1162117.836,8497063.233,1570495.687,390290.1233,1390233466,3087215.671,170466.7196,1643939.844,132422736.4,79179.6954,1221135.979,85279084.95,6951105.467,0
4:45 AM,1018582.648,2715652.24,2423960.592,324802.5443,7714450.997,47620861.88,199125.3198,0,5552198.337,6861930.066,9660309.421,31019926.71,4667905.511,494955.9551,118597615.8,6349508.281,4256011.307,5545910.593,0,20599726.41,143915695.5,44940.68526,4086330.204,272063.8598,533046.2964,-48230.70425,455168.9729,0,35240944.8,0,21695717.75,1336880.169,562584835.1,28700334.41,1399800.285,10642548.52,1570495.687,390290.1233,1397865464,3087215.671,170466.7196,1643939.844,147869801.4,89867.90485,1529763.725,85745548.34,7713802.327,0
5:00 AM,1018582.648,2719674.332,2999510.179,411701.7538,9790497.45,48256357.03,257496.3092,0,5552198.337,6861930.066,9764820.925,31001918.64,4667905.511,494955.9551,118421466,6345721.134,4256011.307,5545910.593,0,20685547.17,143921403.2,44940.68526,4086330.204,273090.2105,531539.5494,-152621.1496,455168.9729,0,35240944.8,0,25531514.83,1336880.169,561666620.4,32531780.34,1735315.007,13520953.65,1570495.687,390290.1233,1395670608,3087215.671,170466.7196,1643939.844,166514313.7,106031.5858,1921944.683,85696058.33,8647674.239,0
