,state_num,ev,pct_car_buyers,car_buyers,pct_boomers,boomers,Under 5,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,+85 years,median_hh_inc,inc_norm,boomer_saturation,ev_per_c,ev_per_1k_b,ev_saturation,zip,kids,20s,30s,40s,50s,60s,70s,80s
4956,3.0,23.0,64.9,22336.0,11.5,3963.0,7.4,7.9,9.2,8.9,7.9,7.5,7.1,6.5,6.5,6.3,5.6,5.4,5.1,3.4,2.3,1.4,0.9,0.7,44929.0,-0.6781370197730687,0.1774265759312321,0.001029727793696275,5.802219979818365,0.0,77506,0.3509999999999999,0.154,0.136,0.128,0.11,0.085,0.037,0.016
4957,3.0,3.0,89.2,687.0,7.7,59.0,3.0,1.4,1.8,2.6,17.7,22.7,14.0,4.9,7.4,5.5,3.5,5.1,5.3,1.9,0.9,1.3,0.6,0.3,63178.0,-0.010403632230258895,0.0858806404657933,0.004366812227074236,50.0,0.0,77507,0.10799999999999997,0.40399999999999997,0.18899999999999997,0.129,0.086,0.072,0.022000000000000002,0.009
4958,3.0,25.0,74.1,10642.0,23.0,3299.0,5.1,6.2,7.3,6.3,5.0,5.0,5.9,6.1,5.9,6.2,7.0,7.7,7.9,5.9,5.0,3.6,2.2,1.7,82653.0,0.7021892617582457,0.3099981206540124,0.0023491824844953956,7.575757575757576,0.0,77510,0.25900000000000006,0.1,0.12,0.12100000000000001,0.147,0.138,0.086,0.03900000000000001
4959,3.0,93.0,71.0,36268.0,18.6,9517.0,6.1,7.0,7.5,7.0,6.2,6.7,6.7,6.6,6.1,6.2,6.1,6.5,6.3,5.1,4.1,2.8,1.6,1.4,64855.0,0.0509580254446434,0.2624076320723503,0.002564243961619058,9.770960285774324,0.0,77511,0.29,0.129,0.133,0.12300000000000001,0.126,0.11399999999999999,0.06899999999999999,0.03
4960,3.0,7.0,72.6,3578.0,22.7,1120.0,6.0,6.5,7.6,6.3,5.1,5.3,5.7,6.8,5.5,6.1,6.6,6.4,7.6,7.1,4.8,3.3,1.6,1.7,53378.0,-0.36898696270971176,0.31302403577417554,0.001956400223588597,6.244424620874219,0.0,77514,0.2740000000000001,0.10399999999999998,0.125,0.11599999999999999,0.13,0.147,0.081,0.033
4961,3.0,51.0,71.9,23513.0,18.5,6066.0,5.6,6.7,7.5,7.2,5.6,6.4,6.7,7.2,6.7,6.2,6.3,6.8,6.6,5.4,3.8,2.4,1.5,1.5,76923.0,0.4925277838350554,0.2579849444987879,0.0021690128864883256,8.406131531234548,0.0,77515,0.2809999999999999,0.12,0.139,0.129,0.131,0.12,0.06199999999999999,0.03
4962,3.0,19.0,73.1,4426.0,20.4,1235.0,4.9,6.1,6.6,7.8,5.6,4.8,5.7,6.5,6.4,5.8,7.8,8.3,7.9,5.9,4.5,2.6,1.5,1.2,62127.0,-0.048859864917392054,0.2790329868956168,0.00429281518300949,15.372168284789643,0.0,77517,0.2690000000000001,0.10399999999999998,0.122,0.122,0.161,0.138,0.071,0.027000000000000003
4963,3.0,20.0,69.4,6727.0,14.6,1410.0,6.5,7.6,7.8,7.3,6.4,6.9,7.7,6.7,6.3,6.3,6.0,7.4,6.3,4.4,2.7,1.9,1.0,0.6,54242.0,-0.3373730854102988,0.20960309201724395,0.002973093503790694,14.174344436569807,0.0,77518,0.30599999999999994,0.133,0.14400000000000002,0.126,0.134,0.107,0.046,0.016
4964,3.0,1.0,73.5,648.0,21.7,191.0,4.3,6.5,8.6,5.8,6.1,3.9,6.2,8.6,6.3,6.8,6.1,7.3,5.1,7.9,3.9,3.6,2.0,0.9,48529.0,-0.5464125310255146,0.29475308641975306,0.0015432098765432098,5.208333333333333,0.0,77519,0.265,0.1,0.14800000000000002,0.131,0.13399999999999998,0.13,0.075,0.028999999999999998
4965,3.0,41.0,68.2,26326.0,15.6,6016.0,6.9,7.5,8.0,7.8,7.3,7.7,6.5,6.4,5.9,6.1,6.1,5.8,5.3,4.4,3.4,2.1,1.3,1.4,51165.0,-0.44996093315369434,0.22851933449821468,0.0015573957304565829,6.8140269237161375,0.0,77520,0.31799999999999995,0.15,0.129,0.12,0.11899999999999998,0.09699999999999999,0.055,0.027000000000000003
