,time,time_num,hour,kWh,kWh_pv,kWh_ev,everything
0,0.25,0.25,1,70.33656908359285,0.0,89.99999999999993,160.3365690835928
1,0.5,0.5,1,67.80525793050718,0.0,40.90909090909088,108.71434883959806
2,0.75,0.75,1,66.83596429105363,0.0,40.90909090909088,107.7450552001445
3,1.0,1.0,1,65.93279960884888,0.0,40.90909090909088,106.84189051793976
4,1.25,1.25,2,65.22789815166976,0.0,40.90909090909088,106.13698906076064
5,1.5,1.5,2,64.00024386529665,0.0,40.90909090909088,104.90933477438753
6,1.75,1.75,2,63.326784418162774,0.0,40.90909090909088,104.23587532725365
7,2.0,2.0,2,62.90126159529857,0.0,40.90909090909088,103.81035250438944
8,2.25,2.25,3,62.50952845338221,0.0,40.90909090909088,103.4186193624731
9,2.5,2.5,3,62.41878622302004,0.0,40.90909090909088,103.32787713211093
10,2.75,2.75,3,61.95742105541204,0.0,40.90909090909088,102.86651196450292
11,3.0,3.0,3,61.865976595129666,0.0,40.90909090909088,102.77506750422054
12,3.25,3.25,4,61.80956703480068,0.0,40.90909090909088,102.71865794389156
13,3.5,3.5,4,62.43126519953767,0.0,40.90909090909088,103.34035610862855
14,3.75,3.75,4,62.325990946913144,0.0,40.90909090909088,103.23508185600403
15,4.0,4.0,4,62.54723523596517,0.0,40.90909090909088,103.45632614505604
16,4.25,4.25,5,62.80355548104626,0.0,40.90909090909088,103.71264639013714
17,4.5,4.5,5,64.60634635213417,0.0,40.90909090909088,105.51543726122505
18,4.75,4.75,5,65.02062914982857,-0.042884301808240155,40.90909090909088,105.8868357571112
19,5.0,5.0,5,65.92650199810677,-1.1321041747543616,40.90909090909088,105.70348873244329
20,5.25,5.25,6,66.918364525972,-3.5824283162518817,40.90909090909088,104.245027118811
21,5.5,5.5,6,71.95384554529451,-6.559650610312877,40.90909090909088,106.30328584407252
22,5.75,5.75,6,73.1509574138913,-9.645839436167247,40.90909090909088,104.41420888681493
23,6.0,6.0,6,75.37591351498263,-15.33703604144225,40.90909090909088,100.94796838263126
24,6.25,6.25,7,76.80704765200807,-22.70809417593615,40.90909090909088,95.00804438516279
25,6.5,6.5,7,83.58095625460135,-31.88081370805639,40.90909090909088,92.60923345563583
26,6.75,6.75,7,84.52783542032921,-42.477946307072024,40.90909090909088,82.95898002234807
27,7.0,7.0,7,86.39590614490638,-54.84874362135531,40.90909090909088,72.45625343264194
28,7.25,7.25,8,87.01619113504363,-69.14221955659875,40.90909090909088,58.78306248753576
29,7.5,7.5,8,92.40508797027165,-85.4291454580953,40.90909090909088,47.885033421267224
30,7.75,7.75,8,92.58155150885409,-103.35588132268985,40.90909090909088,30.134761095255115
31,8.0,8.0,8,93.43512088400462,-124.3508608818241,40.90909090909088,9.993350911271392
32,8.25,8.25,9,93.48669045418568,-146.56642048672646,40.90909090909088,-12.170639123449902
33,8.5,8.5,9,96.89946503279239,-169.250597220938,40.90909090909088,-31.442041279054735
34,8.75,8.75,9,96.88760624876285,-192.45044889055544,40.90909090909088,-54.65375173270171
35,9.0,9.0,9,97.39875412522322,-213.54676275783424,40.90909090909088,-75.23891772352015
36,9.25,9.25,10,97.55876849312816,-234.52943953112802,40.90909090909088,-96.06158012890899
37,9.5,9.5,10,99.18530999575341,-255.5101680245413,40.90909090909088,-115.415767119697
38,9.75,9.75,10,99.31590013978234,-276.08525277904295,40.90909090909088,-135.86026173016973
39,10.0,10.0,10,99.6352166241822,-291.002960385945,40.90909090909088,-150.45865285267195
40,10.25,10.25,11,99.86654435204284,-304.97046807973663,40.90909090909088,-164.19483281860292
41,10.5,10.5,11,100.43119554630485,-318.3072304315142,40.90909090909088,-176.96694397611847
42,10.75,10.75,11,100.63393967947863,-330.52193666097753,40.90909090909088,-188.97890607240802
43,11.0,11.0,11,100.87875458143863,-338.638145499524,40.90909090909088,-196.8503000089945
44,11.25,11.25,12,101.14444152094099,-345.411289732687,40.90909090909088,-203.35775730265516
45,11.5,11.5,12,102.12579922077089,-351.21680440977593,0.0,-249.09100518900505
46,11.75,11.75,12,102.30376520970268,-355.6952015895996,0.0,-253.39143637989693
47,12.0,12.0,12,102.39607465234214,-355.5287591206869,0.0,-253.1326844683448
48,12.25,12.25,13,102.47564842457756,-353.9483478691682,0.0,-251.4726994445906
49,12.5,12.5,13,102.11738511143176,-351.51830354974305,0.0,-249.4009184383113
50,12.75,12.75,13,102.07789652613017,-347.6901769963001,0.0,-245.61228047016994
51,13.0,13.0,13,102.00817368508805,-342.4393803355637,0.0,-240.43120665047567
52,13.25,13.25,14,102.02016161711953,-335.8080775533334,0.0,-233.7879159362139
53,13.5,13.5,14,101.04701335654943,-328.2105176629774,0.0,-227.16350430642797
54,13.75,13.75,14,101.14024909857295,-319.42775613470343,0.0,-218.28750703613048
55,14.0,14.0,14,101.28793866539463,-307.11924248941335,0.0,-205.83130382401873
56,14.25,14.25,15,101.65065139113688,-293.7652809964483,0.0,-192.11462960531145
57,14.5,14.5,15,102.55880424515622,-279.84256904600693,0.0,-177.2837648008507
58,14.75,14.75,15,103.2230051846121,-265.1577851270238,0.0,-161.93477994241172
59,15.0,15.0,15,103.9092933873949,-246.8369192515467,0.0,-142.92762586415182
60,15.25,15.25,16,104.7298286947306,-228.12773374692557,0.0,-123.39790505219497
61,15.5,15.5,16,108.23283789443354,-209.34058730719104,0.0,-101.1077494127575
62,15.75,15.75,16,109.42001900007054,-190.378771292531,0.0,-80.95875229246047
63,16.0,16.0,16,110.41044350447521,-168.51767532386154,0.0,-58.10723181938633
64,16.25,16.25,17,111.4662576332297,-147.4171042155292,0.0,-35.950846582299505
65,16.5,16.5,17,116.40105781390186,-126.85593228534371,0.0,-10.454874471441855
66,16.75,16.75,17,117.58782532475665,-106.50130656527813,0.0,11.086518759478523
67,17.0,17.0,17,118.49280533677485,-87.66820969035265,0.0,30.824595646422196
68,17.25,17.25,18,119.21186729276918,-71.49475427371615,0.0,47.71711301905303
69,17.5,17.5,18,123.01744224085526,-57.682050094028526,0.0,65.33539214682673
70,17.75,17.75,18,123.28898090217673,-45.84790537196194,0.0,77.44107553021479
71,18.0,18.0,18,123.34239617182494,-35.2203512330276,0.0,88.12204493879734
72,18.25,18.25,19,123.19245679418201,-25.930873143419127,0.0,97.26158365076287
73,18.5,18.5,19,125.30513914273843,-18.595740353831058,0.0,106.70939878890736
74,18.75,18.75,19,124.81385859295598,-12.9409702540854,0.0,111.87288833887058
75,19.0,19.0,19,124.26501049944588,-8.909085263974855,0.0,115.35592523547102
