,bd,hour,time,end_use,category,energy
91,False,1,00:45:00,well_pump,Kitchen,0.07507376525029456
92,False,2,01:00:00,ceiling_fan,HVAC,0.05452814899921986
93,False,2,01:00:00,clothes_dryer,Laundry,0.15706214058786974
94,False,2,01:00:00,clothes_washer,Laundry,0.003817915101128732
95,False,2,01:00:00,cooling,HVAC,1.387639481452798
96,False,2,01:00:00,cooling_fans_pumps,HVAC,0.2132915324057858
97,False,2,01:00:00,dishwasher,Kitchen,0.011979157274954485
98,False,2,01:00:00,freezer,Kitchen,0.19966636906272056
99,False,2,01:00:00,heating,HVAC,1.894361889788349
100,False,2,01:00:00,heating_fans_pumps,HVAC,1.2073401973306614
101,False,2,01:00:00,heating_hp_bkup,HVAC,0.09751820003949281
102,False,2,01:00:00,hot_tub_heater,Hot Tub,0.09725635329205114
103,False,2,01:00:00,hot_tub_pump,Hot Tub,0.09622620016846695
104,False,2,01:00:00,hot_water,HVAC,0.578972176299917
105,False,2,01:00:00,lighting_exterior,Lighting,0.16039863672056318
106,False,2,01:00:00,lighting_garage,Lighting,0.03411824330691672
107,False,2,01:00:00,lighting_interior,Lighting,0.5458093569304581
108,False,2,01:00:00,mech_vent,HVAC,0.04104669940634414
109,False,2,01:00:00,plug_loads,Plugs,4.81965061046374
110,False,2,01:00:00,pool_heater,Pool,0.002316899365887712
111,False,2,01:00:00,pool_pump,Pool,0.044670917635420075
112,False,2,01:00:00,range_oven,Kitchen,0.03758878062103061
113,False,2,01:00:00,refrigerator,Kitchen,1.4017898112707587
114,False,2,01:00:00,well_pump,Kitchen,0.07507376525029456
115,False,2,01:15:00,ceiling_fan,HVAC,0.053486457532180065
116,False,2,01:15:00,clothes_dryer,Laundry,0.1265213238448664
117,False,2,01:15:00,clothes_washer,Laundry,0.0032486574244291024
118,False,2,01:15:00,cooling,HVAC,1.38054806466431
119,False,2,01:15:00,cooling_fans_pumps,HVAC,0.21079846463003105
120,False,2,01:15:00,dishwasher,Kitchen,0.01125356731926472
121,False,2,01:15:00,freezer,Kitchen,0.19966636906272056
122,False,2,01:15:00,heating,HVAC,1.8733469330049668
123,False,2,01:15:00,heating_fans_pumps,HVAC,1.1947259892716433
124,False,2,01:15:00,heating_hp_bkup,HVAC,0.09593292984735886
125,False,2,01:15:00,hot_tub_heater,Hot Tub,0.0903138056838077
126,False,2,01:15:00,hot_tub_pump,Hot Tub,0.08945005020265367
127,False,2,01:15:00,hot_water,HVAC,0.5229553845975873
128,False,2,01:15:00,lighting_exterior,Lighting,0.15544392474272006
129,False,2,01:15:00,lighting_garage,Lighting,0.03411824330691672
130,False,2,01:15:00,lighting_interior,Lighting,0.5156162616698068
131,False,2,01:15:00,mech_vent,HVAC,0.03775915530950291
132,False,2,01:15:00,plug_loads,Plugs,4.7931232714686045
133,False,2,01:15:00,pool_heater,Pool,0.002316899365887712
134,False,2,01:15:00,pool_pump,Pool,0.044670917635420075
135,False,2,01:15:00,range_oven,Kitchen,0.03641083850254684
136,False,2,01:15:00,refrigerator,Kitchen,1.3565724671488817
137,False,2,01:15:00,well_pump,Kitchen,0.04987161727587017
138,False,2,01:30:00,ceiling_fan,HVAC,0.05327420111193059
139,False,2,01:30:00,clothes_dryer,Laundry,0.10537492814475802
140,False,2,01:30:00,clothes_washer,Laundry,0.0028941111346716397
